topic_id,topic_name,keywords,chunk_count,sample_chunks,your_decision,new_name,merge_with,notes
10,10_disk_inspection_crack_blade,"disk, inspection, crack, blade, ultrasonic, propeller, fatigue, engine, cracks, hub",100,"[AAR-90-06.pdf_chunk_0069]: [ANALYSIS] The investigation  disclosed that the liberated pieces of the engine banjo frame contained  transferred titanium. However, the Safety Board could not determine which of  the titanium engine parts struck the frame.  2.4.2  Initiat'ion and Propagation of Fatigue Crack  . Metallurgical exami... ||| [AAR-90-06.pdf_chunk_0070]: [ANALYSIS] The actual surface length of the discolored  area is 0.476 inch. The GEAE fracture mechanics analysis also was used to estimate the  size of the fatigue crack at the time of the inspection. The analysis  estimated that the surface length of the crack was 0.498 inch long at the  last inspe... ||| [AAR-90-06.pdf_chunk_0071]: [ANALYSIS] This accident demonstrates the difficulty of inspection. Therefore, to some extent, the engine manufacturers rely upon the billet  fabrication procedures for their overall quality assurance of disk material. Although the billet producers have been constantly striving to upgrade the  quali...",,,,
11,11_wing_crack_inspection_skin,"wing, crack, inspection, skin, fatigue, lap, joint, aloha, maintenance, aloha airlines",94,"[AAB1301.pdf_chunk_0017]: [ANALYSIS] ANALYSIS  There were no relevant anomalies during the preflight check and taxi of the accident  airplane. On the takeoff roll, shortly after liftoff, the No. 2 engine pylon separated from the left  wing. The No. 2 engine nacelle and pylon assembly struck the No. 1 engine nacelle, causing... ||| [AAB1301.pdf_chunk_0018]: [ANALYSIS] The records review and  termination of the repetitive inspections based on the completion entry were in accordance with  applicable practice and regulations. If the erroneous entries had not been made, Omega would  have either continued its inspections of the midspar fitting or noted the... ||| [AAB1302.pdf_chunk_0011]: [ANALYSIS] These cracks and others in the area had propagated entirely  through the skin thickness. The NTSB concludes that fatigue cracking initiated at rivet hole 85  located at BS 697. The material properties for the skins, doubler, and rivets were all checked and  satisfied the Boeing specificat...",,,,
12,12_sleep_fatigue_hours_duty,"sleep, fatigue, hours, duty, rest, day, time, accident, officer, performance",84,"[AAB0605.pdf_chunk_0022]: [ANALYSIS] The controller’s apparent  perception that flight crews operating under VFR are always able to avoid terrain and obstacles  regardless of flight conditions is incorrect, and his failure to take appropriate action placed the  airplane in an unsafe situation. The controller had the knowledg... ||| [AAB0607.pdf_chunk_0024]: [ANALYSIS] By the time the wreckage was identified,  however, adverse weather had moved in that prevented rescue personnel from reaching the site until  0630 on November 30, 2004. A review of the autopsy report for the active-duty military passenger, who initially  survived at the accident site but... ||| [AAR0001.pdf_chunk_0168]: [ANALYSIS] At the beginning of the approach, the captain made unsolicited comments related to fatigue, stating “eh...really...sleepy.” In its investigation of the 1993 American International Airways accident at Guantanamo Bay, Cuba, the Safety Board noted that individuals often tend to underestimate...",,,,
13,13_faa_oversight_surveillance_training,"faa, oversight, surveillance, training, poi, program, safety, operations, air, records",79,"[AAR0001.pdf_chunk_0190]: [ANALYSIS] The KCAB inspectors provided an annual evaluation of the flight skills of the check airmen and examiners but did not observe proficiency checks or check rides on Korean Air’s wide-body fleet.225  According to its director, the KCAB routinely conducts one annual safety inspection, four qua... ||| [AAR0001.pdf_chunk_0191]: [ANALYSIS] Also, cockpit approach procedures (for example, for the flying and nonflying pilot roles) were taught anecdotally and were not documented. After the accident and discussions with Safety Board investigators, the KCAB asked Korean Air to modify its simulator training syllabus to include a d... ||| [AAR0001.pdf_chunk_0192]: [ANALYSIS] Aldershot: Hampshire, England, p. 182. 228 The FAA’s position title for POIs assigned to foreign carriers is International Geographic Inspector (Operations). Analysis 168 Aircraft Accident Report accident stated that oversight of foreign carriers under Part 129 included inspections of tri...",,,,
14,14_icing_atr_icing conditions_freezing,"icing, atr, icing conditions, freezing, conditions, 4184, flight 4184, aileron, hinge moment, ice",75,"[AAR1102.pdf_chunk_0101]: [CONCLUSIONS > FINDINGS] Due to the early morning hour of the accident flight and cumulative sleep debt, it is likely  that fatigue degraded the captain’s performance.  81  NTSB  Aircraft Accident Report  20. Dispatching and operating an airplane in known icing conditions for which the airplane is n... ||| [AAR9601.pdf_chunk_0000]: [ANALYSIS] ANALYSIS Gore ral .0....ceecceecceseesseceeceseeeeneescecaeceeeeeneeeaeesaeceseceseeeaeecaeeeeeeeeeeaeeeaeaes 158 Summary of Accident Sequence ..........ccccccecesceessecceseeeseeeceseeeeaeeeesaees 159 Meteorological Factors ........ccccccscccesseceeseceeseccsseeeseseecsecenseceseseeensae... ||| [AAR9601.pdf_chunk_0001]: [CONCLUSIONS] CONCLUSIONS FINdingS ......ceeccececccssseceeccceececesecessececseeccseeeseseecsseeeseeeeceseeceeneeeeeeeesaes 203  3.2  Probable Cause.........cccceecececcccccccecsssseececcccceccacsssesceccececeaaeaseececeeceeeeanans RECOMMENDATIONS .ouicciccccccccecececscecscecsccccccccccecececececc...",,,,
15,15_rudder_pedal_rudder pedal_input,"rudder, pedal, rudder pedal, input, yaw, inputs, yaw damper, control, damper, left",71,"[AAR0101.pdf_chunk_0112]: [FINDINGS] 1.18.4.1 Findings Note: Because the Safety Board’s analysis of the USAir flight 427 accident also included analysis of the United flight 585 accident and the Eastwind flight 517 incident, some of the findings pertain to these two events. 90 The CVR transcript indicates that, at 0914:20, b... ||| [AAR0101.pdf_chunk_0122]: [ANALYSIS] There is also no evidence that a ground spoiler deployed to cause the lateral upset. The condition of the ground spoiler control valve slide was consistent with a retracted spoiler position. Further, had either the flight or ground spoilers been extended in flight, the airplane would not... ||| [AAR0101.pdf_chunk_0137]: [ANALYSIS] In its computer simulation, the Safety Board matched this heading change by introducing a crosswind gust component, resulting in right yaw. The yaw rate was sustained for more than 3 seconds before a rapid right roll developed. This sustained yaw would have been apparent to the captain as...",,,,
16,16_trim_stabilizer_control_tab,"trim, stabilizer, control, tab, elevator, trim tab, horizontal stabilizer, aileron trim, horizontal, pitch",68,"[AAB1201.pdf_chunk_0027]: [ANALYSIS] However, during the roll events, the airplane also rapidly pitched up. The  characteristics of the pitch changes were such that, within about 1 second, the vertical G levels  rose from about 3 G to 17.3 G; both the rate of G onset and the high-G level exceeded human  tolerance. Based on a... ||| [AAB1201.pdf_chunk_0028]: [ANALYSIS] The left trim tab’s inboard hinge screw showed  evidence of reverse bending fatigue, and corrosion on the fatigue fracture features indicated that  the fatigue cracking had been present for a prolonged time before the screw ultimately failed in  31  NTSB/AAB-12/01  overload during the acc... ||| [AAB1201.pdf_chunk_0029]: [ANALYSIS] The  addition of filler material to the elevator trim tabs (which increased their weight and moved their  CG aft) also increased the potential for flutter. Excitation of the flutter resulted in dynamic  compressive loads in the left tab link assembly that increased beyond its buckling str...",,,,
17,17_135_operations_faa_charter,"135, operations, faa, charter, oversight, training, operators, flights, cfitavoidance, ntsb",66,"[AAR0001.pdf_chunk_0182]: [ANALYSIS] Navy, U.S. Air Force, U.S. Coast Guard, Federal Emergency Management Agency, and all other affected agencies, to define and coordinate emergency notification and response procedures to ensure that timely emergency notifications are made to all local and Federal agencies according to need,... ||| [AAR0001.pdf_chunk_0183]: [ANALYSIS] Pending further correspondence from the FAA, Safety Recommendation A-96-95 was classified “Open—Acceptable Response” on November 13, 1997. A CFIT Education and Training Aid, which was developed under the auspices of the FSF and made available to air carriers in 1997, provides an overall s... ||| [AAR0303.pdf_chunk_0060]: [ANALYSIS] The Board is also concerned that the FAA requires en route inspections of Part 135 scheduled operations, but not for Part 135 on-demand operations, despite its own acknowledgement that en route inspections are one of the best means for ensuring adequate surveillance. The Safety Board is a...",,,,
18,18_sms_operators_fdm_ntsb,"sms, operators, fdm, ntsb, safety, 135, faa, program, 135 operators, recommendation",63,"[AAR0701.pdf_chunk_0075]: [ANALYSIS] SMS program initiatives have been developed in the international aviation industry. For example, the European Joint Aviation Authorities recommend, but do not require, air carriers to establish an SMS program. Also, in June 2005, Transport Canada passed regulations requiring that air carr... ||| [AAR1403.pdf_chunk_0071]: [ANALYSIS] Any organization that wishes to actively manage safety as part of an effective SMS must  continuously strive to discover, understand, and mitigate the risks involved in its operations. This  includes establishing a just culture in which mutually agreed principles are established to draw a... ||| [AAR1603.pdf_chunk_0058]: [ANALYSIS] In this case, Execuflight had established SOPs, but the flight crew consistently failed to  follow them. As noted in FAA AC 120-71A, a lack of firm implementation of SOPs by  management poses a danger in that flight crews “too easily become participants in an undesirable  double standard...",,,,
19,19_cam_cam1_source_content,"cam, cam1, source, content, sound, source content, time source, ah, okay, zero",61,"[AAB0201.pdf_chunk_0080]: [PROBABLE CAUSE] INTRA-COCKPIT COMMUNICATION             AIR-GROUND COMMUNICATION    TIME &        TIME &  SOURCE    CONTENT    SOURCE  CONTENT        0121:14    RDO-2a  departure, EgyptAir nine eight nine in your frequency.    0121:18    DEP  EgyptAir nine ninety heavy New York you're radar contact... ||| [AAB0201.pdf_chunk_0081]: [PROBABLE CAUSE] I entered three one zero.    0125:32    CAM-3  that's why it gave you maximum altitude.    0125:35    HOT-2a  I swear I entered three one zero.    0125:40    HOT-2a  ten thousand climbing.    0125:42    CAM-1a  thirty three.    0125:48    HOT-2a  I had even entered two nine zero.... ||| [AAB0201.pdf_chunk_0082]: [PROBABLE CAUSE] Captain Habashi, would you like to drink  something? Captain Hatem, would you like to drink  something?    0130:23    CAM-?  [sounds similar to coughing]    0130:45    CAM-?  [unintelligible conversation in background]    0130:55    CAM-?  where is our chart?    0130:57    CAM-?  [s...",,,,
20,20_wing_ice_contamination_deicing,"wing, ice, contamination, deicing, snow, wings, stall, takeoff, airfoil, surfaces",61,"[AAB0603.pdf_chunk_0025]: [ANALYSIS] The presence of upper wing surface contamination is likely because the airplane was  parked on the ground for about 40 to 45 minutes during freezing precipitation and it was not  deiced. A witness observation of upper wing surface contamination while the airplane was  parked, as well as a... ||| [AAB0603.pdf_chunk_0026]: [ANALYSIS] Moreover, ice accumulation in this area would likely  have been difficult to visually detect from the cockpit because the airplane’s wing paint color  was white. Following the accident, the Safety Board published a safety alert39 that summarized the  Board’s previous findings regarding th... ||| [AAR1102.pdf_chunk_0059]: [ANALYSIS] 2. Analysis  2.1 General  The captain and the first officer were certificated in accordance with Federal regulations  and were current and qualified in accordance with Empire Airlines’ training requirements. The  investigation found no evidence that the pilots’ performance was affected by...",,,,
21,21_elevator_relief_boeing_egyptian,"elevator, relief, boeing, egyptian, relief officer, ntsb, pca, eit, 990, movements",60,"[AAB0201.pdf_chunk_0059]: [ANALYSIS] Although the captain reported several minor anomalies during these interviews (including an autopilot 86 For additional information, see the Systems Group Chairman’s Factual Report and its addendum and the Materials Laboratory Factual Report.  53 NTSB/AAB-02/01 anomaly), he told investiga... ||| [AAB0201.pdf_chunk_0060]: [ANALYSIS] Mechanical Failure/Anomaly Scenarios  The Safety Board evaluated possible mechanical failure and pilot action scenarios in an attempt to determine whether they were consistent with the elevator movements made during the accident sequence. As previously discussed in the section titled, 87... ||| [AAB0201.pdf_chunk_0061]: [ANALYSIS] As previously mentioned, one of the recovered PCAs was found with a pin (that attached the spring guide to the servo valve slide) sheared and one coil of the bias spring improperly positioned over the head portion of the spring guide. However, there were no marks on any of the surfaces or...",,,,
22,22_medical_drug_drugs_parachute,"medical, drug, drugs, parachute, marijuana, use, jump, pilots, pilot, faa",56,"[AAR0402.pdf_chunk_0072]: [ANALYSIS] Another possible shortcoming of current color vision certification standards and related screening tests is that they may not appropriately evaluate a pilot’s ability to rapidly discriminate among colors. Therefore, the Safety Board concludes that existing aviation medical certification s... ||| [AAR0402.pdf_chunk_0073]: [ANALYSIS] Therefore, the Safety Board concludes that one or more of the color vision screening tests currently approved for use in the aviation industry (for example, the FALANT) are not adequate and that these tests should be identified and their use discontinued. The Safety Board believes that th... ||| [AAR0802.pdf_chunk_0049]: [ANALYSIS] Even though there was some uncertainty as to whether  the runway overrun was an accident or an incident, it would have been prudent for  Pinnacle to comply with the drug and alcohol testing regulations as if the overrun were  to be classified as an accident. After another recent accident,...",,,,
23,23_elevator_maintenance_elevator control_control,"elevator, maintenance, elevator control, control, tab, control tab, air, mechanic, air midwest, cass",53,"[AAR0302.pdf_chunk_0070]: [ANALYSIS] To the contrary, CVR and FDR evidence indicates that the first officer began to move the control column forward, countering the airplane’s unusual nose-up pitch rate, about the time the airplane reached its rotation speed. Further, CVR evidence indicates that the first officer began to ad... ||| [AAR0302.pdf_chunk_0071]: [ANALYSIS] The Safety Board’s subsequent airplane performance study indicated that the change observed in the FDR’s control column and elevator data at this time could be explained by a 3º to 4º TEU shift in the airplane’s right control tab position relative to the left control tab. This shift in co... ||| [AAR0302.pdf_chunk_0072]: [ANALYSIS] This scenario is consistent with evidence of contact damage observed on the forward edges of the accident airplane’s right control tab crank fitting and would have resulted in the abnormal nose-up pitching observed in the FDR data as the airplane neared rotation speed. Therefore, the Safe...",,,,
24,24_ice_icing_icing conditions_boots,"ice, icing, icing conditions, boots, deicing, deice, conditions, boot, deicing boots, rough",51,"[AAR0303.pdf_chunk_0053]: [ANALYSIS] Several pilot reports made in the vicinity of EVM about the time of the accident and an analysis of those reports indicated that icing was likely occurring in two distinct bands around the time of the accident: moderate icing was present between approximately 8,000 and 11,000 feet, and li... ||| [AAR0702.pdf_chunk_0033]: [ANALYSIS] During the approach, the flight crew of the sister ship, which was following the accident flight, cycled the deice boots numerous times and maintained a high airspeed and, subsequently, landed safely, indicating the importance of taking these actions to counteract the hazardous effects of... ||| [AAR0702.pdf_chunk_0034]: [ANALYSIS] At 0859:29, the CVR recorded the first officer state that the Vref was 96 knots. In the case of this flight, the Vref should have been increased from 96 to 104 knots because of the icing conditions. The CVR did not record either pilot mention increasing the airspeed at any point during th...",,,,
25,25_acme_alaska airlines_end play_jackscrew,"acme, alaska airlines, end play, jackscrew, play, alaska, wear, lubrication, nut, acme nut",49,"[AAR0201.pdf_chunk_0139]: [ANALYSIS] The inner diameter of those ridges was almost identical to the outer diameter of the acme screw threads, which is consistent with the worn acme nut threads having been sheared off by the acme screw threads during airplane-nose-down trimming movements. Each of the acme nut threads makes 16... ||| [AAR0201.pdf_chunk_0140]: [ANALYSIS] The study showed that the bending deformations resulting from a 2,000-pound load on a single highly worn thread spiral caused a drastic change in the thread’s behavior, indicating that a structural failure, rather than shearing failure, is possible. Further, the results of the Safety Boar... ||| [AAR0201.pdf_chunk_0152]: [ANALYSIS] As previously discussed, the expected wear rate is about 0.001 inch per 1,000 flight hours.232 Therefore, the Safety Board concludes that the acme nut threads on the accident airplane’s horizontal stabilizer jackscrew assembly wore at an excessive rate. There is, however, no reason to bel...",,,,
26,26_checklist_oxygen_engine_cabin,"checklist, oxygen, engine, cabin, american airlines, valve, emergency, american, filter, light",47,"[AAB0001.pdf_chunk_0029]: [ANALYSIS] As the flight continued, it deviated from its assigned course and failed to level at its assigned altitude (FL 390). There was no evidence that the flight crew attempted to intervene43 over the next 4 hours, as the airplane continued to   40 Sunjet Aviation’s documentation of aircraft sys... ||| [AAB0001.pdf_chunk_0030]: [ANALYSIS] Because this accident would not have occurred without both the loss of cabin pressure and the failure of the flight crew to receive supplemental oxygen, the Safety Board considered possible reasons for both of these key events in the accident sequence. LOSS OF CABIN PRESSURIZATION Availab... ||| [AAB0001.pdf_chunk_0031]: [ANALYSIS] If there is no inlet bleed air, the valve main spring will close the flow control valve completely. Although, as previously discussed, bleed air was available to open the flow control valve, the condition of the flow control valve indicated that it was in its fully closed position at impa...",,,,
27,27_cvr_recorder_recorders_voice,"cvr, recorder, recorders, voice, cockpit voice, cvrs, cockpit, audio, flight data, data",47,"[AAR0401.pdf_chunk_0138]: [ANALYSIS] Safety Recommendation A-97-36 asked the FAA to require the inspection of CVRs aboard Beech 1900 airplanes and ensure that the operator take corrective actions so that the intelligibility of recorded communications was as high as practicable. Raytheon Aircraft Company issued Service Bullet... ||| [AAR0401.pdf_chunk_0139]: [ANALYSIS] On January 16, 2003, the Safety Board stated its concern that that the FAA’s maintenance survey would address only one part of the CVR reliability problem. The Board’s safety recommendation letter stressed that it was the flight crew’s responsibility to check the CVR for proper operation... ||| [AAR0602.pdf_chunk_0063]: [ANALYSIS] Analysis 55 Aircraft Accident Report the first flight of the day. The FAA indicated that the intent of the notice was to persuade the operators to configure the CVRs during future major maintenance cycles so that flight crews would be able to test them. The FAA also stated that it made a...",,,,
28,28_thrust_reverse_reverse thrust_epr,"thrust, reverse, reverse thrust, epr, reverser, thrust reverser, landing, reversers, thrust reversers, 13 epr",47,"[AAR0102.pdf_chunk_0150]: [ANALYSIS] Likewise, Boeing’s MD-80 FCOM indicated that reverse thrust of no more than 1.3 EPR should be used on wet or contaminated runways, except in an emergency. However, FDR evidence indicated that reverse thrust exceeded 1.3 EPR several times during flight 1420’s landing sequence.199 Further,... ||| [AAR0102.pdf_chunk_0151]: [ANALYSIS] The left engine EPR reached values of 1.3 or greater almost continuously; the right engine EPR reached values of 1.3 or greater several times. The heading stopped moving left, and rudder effectiveness was restored, when the thrust reversers were briefly stowed. When reverse thrust was app... ||| [AAR0102.pdf_chunk_0152]: [ANALYSIS] Therefore, the Safety Board believes that the FAA should issue a flight standards information bulletin that requires the use of 1.3 EPR as the maximum reverse thrust power for MD-80 series airplanes under wet or slippery runway conditions, except in an emergency in which directional contr...",,,,
29,29_gear_landing_landing gear_touchdown,"gear, landing, landing gear, touchdown, md11, checklist, captain, bounce, bounced, second",46,"[AAR0002.pdf_chunk_0057]: [ANALYSIS] The pitch attitude was about 2° noseup and decreasing rapidly. The elevator was about 15° nose-down, although it was moving rapidly toward a nose-up position. Given the nose-down elevator position at that point in the bounce, there were probably no additional crew actions that could have... ||| [AAR0002.pdf_chunk_0060]: [ANALYSIS] Specifically, the FedEx MD-11 “advanced technique” for landing recommends that “elevator back pressure…be relaxed” about 10 feet before touchdown (to achieve a 1° decrease in pitch attitude). However, the captain’s nose-down elevator input, which moved the elevator from 12° nose-up to abo... ||| [AAR0002.pdf_chunk_0061]: [ANALYSIS] The FedEx MD-11 flight manual recommends that a “constant pitch attitude be maintained from 10 feet radio altitude until touchdown.” However, this guidance presupposes a stabilized approach and flare leading up to 10 feet radio altitude. In contrast, because the captain had destabilized t...",,,,
30,30_braking_runway_braking action_brake,"braking, runway, braking action, brake, landing, brakes, distance, reports, action, thrust",46,"[AAR0102.pdf_chunk_0142]: [ANALYSIS] The 20- to 25-knot crosswind component, however, exceeded the 10-knot limitation required by American’s flight manual for a runway with an RVR of less than 1,800 feet.  192 The Safety Board notes that, during flight 1420’s final approach segment, the microburst was  located northwest of t... ||| [AAR0102.pdf_chunk_0153]: [ANALYSIS] The crewmembers had also received a report from the controller about a strong crosswind, so they should have been aware that significant rudder inputs could be required to maintain directional control of the airplane on the runway and that these inputs could take away from their ability t... ||| [AAR0102.pdf_chunk_0154]: [ANALYSIS] The Safety Board acknowledges that American has implemented specific criteria requiring the use of autobrakes but is concerned that the company still does not require autobrakes during landings with crosswinds. In the aviation industry, it is generally understood that landing during high...",,,,
